airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average
0.7065555555555556,0.6910555555555555,0.6046666666666667,0.5577777777777778,0.5765555555555556,0.6046111111111111,0.6502777777777777,0.6746666666666666,0.6004444444444444,0.5288333333333333,0.6195444444444445
0.5531111111111111,0.5221666666666667,0.5032777777777777,0.5208888888888888,0.5062222222222222,0.5552222222222223,0.6031111111111112,0.5595555555555556,0.5880555555555556,1.0,0.591161111111111
0.6371111111111111,0.7856666666666667,0.5318888888888889,0.5203888888888889,0.5433888888888889,0.7308888888888889,0.7809444444444444,0.7167777777777777,0.5807222222222223,0.6665555555555556,0.6494333333333333
0.61,0.8393333333333333,0.6530555555555556,0.546,0.6968888888888889,0.728,0.852111111111111,0.7405555555555556,0.7618888888888888,0.7216111111111111,0.7149444444444444
0.7931111111111111,0.7738888888888888,0.6434444444444445,0.6852222222222222,0.6282222222222222,0.583,0.8419444444444444,0.7747777777777778,0.7741111111111112,0.7216666666666667,0.7219388888888889
0.7965,0.8528333333333333,0.7062777777777778,0.5962777777777778,0.6168888888888888,0.7503888888888889,0.8108888888888889,0.7737777777777778,0.8479444444444444,0.834,0.7585777777777778
0.7313888888888889,0.8755555555555556,0.7503888888888889,0.5879444444444445,0.8042777777777779,0.7829444444444444,0.7873888888888889,0.7812777777777777,0.7801111111111111,0.8084444444444445,0.7689722222222223
0.8818888888888889,0.8376666666666666,0.7393888888888889,0.7453333333333334,0.6928888888888889,0.721,0.782,0.8357222222222223,0.7614444444444445,0.8077777777777777,0.7805111111111113
0.8596111111111111,0.8708888888888888,0.7099444444444445,0.6107222222222223,0.7593333333333334,0.781611111111111,0.8369444444444445,0.8021666666666667,0.8959444444444444,0.8095,0.7936666666666667
0.8293333333333334,0.9183333333333333,0.7607777777777778,0.7383333333333333,0.7837777777777777,0.7299444444444445,0.819,0.8547222222222222,0.8514999999999999,0.8161111111111111,0.8101833333333334
0.8324444444444445,0.8603333333333334,0.7135,0.6483333333333333,0.6639444444444444,0.7869999999999999,0.8767222222222222,0.8297777777777777,0.8771666666666667,0.9084444444444444,0.7997666666666665
0.8546111111111111,0.842111111111111,0.6519444444444444,0.7078333333333333,0.6982777777777778,0.7542222222222222,0.858,0.7514444444444445,0.8340000000000001,0.9091111111111111,0.7861555555555555
0.8456111111111111,0.8964444444444445,0.7198333333333333,0.7436666666666667,0.7473333333333334,0.7957222222222222,0.8504444444444444,0.8647777777777778,0.8955,0.8579444444444444,0.8217277777777777
